_id,batchNo,createdBy,createdOn,flow,color,lat,lon,modifiedBy,modifiedOn,size,streetAddress
80cafe91-fd27-4753-9e5b-35cf18102452,0,admin@byronfd.com,2019-03-04 15:40:08,2000,BLUE,42.1267333993073,-89.25589500706633,admin@byronfd.com,2019-03-04 15:40:08,,"209 N Union St, Byron, IL 61010, USA"
a66fdf08-ddcd-47a2-91c5-add8e5e36eaa,0,admin@byronfd.com,2019-05-02 14:28:04,1258,GREEN,42.12612395217847,-89.2590596496758,apolitsch@es-il.org,2019-10-07 15:27:22,,"123 N Franklin St, Byron, IL 61010, USA"
f7289a2a-5185-47c2-bddf-dabef42d6c48,0,admin@byronfd.com,2019-05-02 16:50:32,1300,GREEN,42.12541868192357,-89.25859506904271,apolitsch@es-il.org,2019-09-26 14:55:33,,"201 W Blackhawk Dr, Byron, IL 61010, USA"
f28aada9-3756-4ee4-8065-2fc5e9dde86e,0,admin@byronfd.com,2019-05-02 16:51:11,1341,GREEN,42.125389836540215,-89.25991337477353,apolitsch@es-il.org,2019-09-26 14:57:05,,"109 N Franklin St, Byron, IL 61010, USA"
74e4b990-04d7-4513-9b5e-fbdb741ab28f,0,admin@byronfd.com,2019-05-02 16:51:38,1314,GREEN,42.125360991143744,-89.26117133080152,apolitsch@es-il.org,2019-09-26 15:00:11,,"418 W Blackhawk Dr, Byron, IL 61010, USA"
32705eb6-98c2-4f3a-ba79-b3aece3bcaa0,0,admin@byronfd.com,2019-05-02 16:52:45,1341,GREEN,42.125346071105895,-89.26343243300107,apolitsch@es-il.org,2019-09-26 19:28:05,,"608 W Blackhawk Dr, Byron, IL 61010, USA"
fe2596dd-3204-4502-9a2f-f7eb0a6f5951,0,admin@byronfd.com,2019-05-02 16:54:09,1393,GREEN,42.12527843355706,-89.26682140409139,apolitsch@es-il.org,2019-09-26 19:33:15,,"103 N Grant St, Byron, IL 61010, USA"
daffa060-be13-4c31-b528-2e96b6b92eb9,0,admin@byronfd.com,2019-05-02 16:56:08,1341,GREEN,42.125055627003135,-89.27009369908956,apolitsch@es-il.org,2019-09-26 19:44:47,,"1088 W Blackhawk Dr, Byron, IL 61010, USA"
0f613d54-3f9e-4067-82db-b2b88d87db1b,0,admin@byronfd.com,2019-05-02 16:56:44,633,ORANGE,42.12512823815364,-89.27161048828748,apolitsch@es-il.org,2019-09-26 19:46:15,,"102 Perene Ave, Byron, IL 61010, USA"
8875cc4c-a31e-40c8-9025-716654363af9,0,admin@byronfd.com,2019-05-02 16:57:48,1406,GREEN,42.12524461475562,-89.27270080625203,apolitsch@es-il.org,2019-09-26 19:46:43,,"103 Barry Ave, Byron, IL 61010, USA"
411894f5-00f9-4e0d-b22f-d919c6bee3d9,0,admin@byronfd.com,2019-05-02 16:58:12,,YELLOW,42.12538088452208,-89.27477549492505,admin@byronfd.com,2019-05-02 16:58:12,,"108 N Fox Run Ln, Byron, IL 61010, USA"
9692b3b5-19cc-4017-9ca1-2733b0531e79,0,admin@byronfd.com,2019-05-02 16:58:52,,YELLOW,42.12586130771085,-89.27665170013097,admin@byronfd.com,2019-05-02 16:58:52,,"201 Creekside Dr, Byron, IL 61010, USA"
24149d5e-de2a-4b58-9b86-483ae976e645,0,admin@byronfd.com,2019-05-02 17:16:53,,YELLOW,42.133103651256164,-89.25776391277077,admin@byronfd.com,2019-05-02 17:16:53,,"703 N Walnut St, Byron, IL 61010, USA"
235b6f2c-1174-4a52-994a-3405251b638d,0,admin@byronfd.com,2019-05-02 17:19:47,,YELLOW,42.131365486596216,-89.25772649375614,admin@byronfd.com,2019-05-02 17:19:47,,"131 N Walnut St, Byron, IL 61010, USA"
fc7359a5-bd77-4a34-a11d-4705c74af7b7,0,admin@byronfd.com,2019-05-02 17:23:10,,YELLOW,42.13035002620348,-89.2560952071986,admin@byronfd.com,2019-05-02 17:25:58,,"103 E 5th St, Byron, IL 61010, USA"
22785c37-3904-4f50-b259-19a26bbb0ebf,0,apolitsch@es-il.org,2019-05-02 19:20:23,,YELLOW,42.1470533037673,-89.27312620163377,apolitsch@es-il.org,2019-05-02 19:20:23,,"1582 Warrenton Dr, Byron, IL 61010, USA"
972c851c-aab1-4fc1-bccd-81e7b00f24b6,0,apolitsch@es-il.org,2019-05-02 19:20:54,,YELLOW,42.146127577233536,-89.27310072064813,apolitsch@es-il.org,2019-05-02 19:20:54,,"1534 Warrenton Dr, Byron, IL 61010, USA"
705aa6b9-e014-4e06-8c25-509b001c1071,0,apolitsch@es-il.org,2019-05-02 19:21:25,,YELLOW,42.14559969964496,-89.27284512527496,apolitsch@es-il.org,2019-05-02 19:21:25,,"1514 Warrenton Dr, Byron, IL 61010, USA"
cb69ea71-c1d4-40bb-8b76-855437dee6df,0,apolitsch@es-il.org,2019-05-02 19:21:55,,YELLOW,42.145898004319534,-89.27147049315482,apolitsch@es-il.org,2019-05-02 19:21:55,,"1547 Brentwood Dr, Byron, IL 61010, USA"
af0046e6-1458-4160-8af2-34b8b8588f41,0,apolitsch@es-il.org,2019-05-02 19:22:29,,YELLOW,42.14718268705638,-89.27084285624534,apolitsch@es-il.org,2019-05-02 19:22:29,,"1583 Brentwood Dr, Byron, IL 61010, USA"
323ee229-42f8-4db7-9eae-0a74f8a3582f,0,apolitsch@es-il.org,2019-05-02 19:23:56,,YELLOW,42.147849469674696,-89.2711228470555,apolitsch@es-il.org,2019-05-02 19:23:56,,"1623 Brentwood Dr, Byron, IL 61010, USA"
bde702e4-c01f-4c8b-b85b-4704b2a92962,0,apolitsch@es-il.org,2019-05-02 19:24:28,,YELLOW,42.148698609776595,-89.2714473943463,apolitsch@es-il.org,2019-05-02 19:24:28,,"1669 Brentwood Dr, Byron, IL 61010, USA"
4d9950b4-5522-4ddc-b9d9-71531d282e3b,0,apolitsch@es-il.org,2019-05-02 19:25:03,,YELLOW,42.147144495760976,-89.27209514782339,apolitsch@es-il.org,2019-05-02 19:25:03,,"1252 Everett Ln, Byron, IL 61010, USA"
c118cba6-72ae-4dc1-8ef9-d48a74720605,0,apolitsch@es-il.org,2019-05-02 19:26:44,,YELLOW,42.148198473601155,-89.27284214303404,apolitsch@es-il.org,2019-05-02 19:26:44,,"1682 Warrenton Dr, Byron, IL 61010, USA"
a97d150d-00d1-4323-b966-95783c13e866,0,apolitsch@es-il.org,2019-05-02 19:29:05,,YELLOW,42.1436024661814,-89.27504167639825,apolitsch@es-il.org,2019-05-02 19:29:05,,"1379 Joanne Terrace, Byron, IL 61010, USA"
d1ed83c7-0d38-4e9d-88d9-2da724d7f6e2,0,apolitsch@es-il.org,2019-05-02 19:48:37,,YELLOW,42.142401440809444,-89.27566690463107,apolitsch@es-il.org,2019-05-02 19:48:37,,"1335 Joanne Terrace, Byron, IL 61010, USA"
593fbfe2-a146-48e1-aec2-819d4b8c8e8b,0,apolitsch@es-il.org,2019-05-02 19:49:16,,YELLOW,42.14125090783346,-89.27600486296694,apolitsch@es-il.org,2019-05-02 19:49:16,,"1241 Joanne Terrace, Byron, IL 61010, USA"
f5ee8a36-87a0-41a7-8035-dc4e062d0ecb,0,apolitsch@es-il.org,2019-05-02 19:50:01,,YELLOW,42.140224658532844,-89.2759793819813,apolitsch@es-il.org,2019-05-02 19:50:01,,"1209 Joanne Terrace, Byron, IL 61010, USA"
49eee573-c1dd-4a1f-95ee-a411913ba5de,0,apolitsch@es-il.org,2019-05-02 19:51:27,1500,BLUE,42.13911485859377,-89.27606118935626,apolitsch@es-il.org,2019-05-02 19:51:27,,"1402 Marijon Dr, Byron, IL 61010, USA"
0d8def81-e603-44eb-8d2b-9267d654fb4a,0,apolitsch@es-il.org,2019-05-02 19:52:28,1500,BLUE,42.14034697400281,-89.27463693636935,apolitsch@es-il.org,2019-05-02 19:52:28,,"1302 Marijon Dr, Byron, IL 61010, USA"
f91846c7-501e-4432-afa6-a2e6f1e5cff7,0,apolitsch@es-il.org,2019-05-02 19:53:06,1500,BLUE,42.13904027456705,-89.2776369871525,apolitsch@es-il.org,2019-05-02 19:53:06,,"1439 Marijon Dr, Byron, IL 61010, USA"
8f5979d2-7717-4bc9-9a7a-d09dae1eb102,0,apolitsch@es-il.org,2019-05-02 19:53:28,,YELLOW,42.13836801990848,-89.2772038103966,apolitsch@es-il.org,2019-05-02 19:53:28,,"1102 Glacier Dr, Byron, IL 61010, USA"
35a3eb29-2f10-4b1c-9300-71077fbacbec,0,apolitsch@es-il.org,2019-05-02 19:53:45,,YELLOW,42.13777133819773,-89.2772225858597,apolitsch@es-il.org,2019-05-02 19:53:45,,"1055 Kingsway Ln, Byron, IL 61010, USA"
16570f70-147c-4401-b220-ba785096969b,0,apolitsch@es-il.org,2019-05-02 19:54:41,,YELLOW,42.14024156393719,-89.2777080656914,apolitsch@es-il.org,2019-05-02 19:54:41,,"1227 Glacier Dr, Byron, IL 61010, USA"
c249c82b-f27e-4868-aa59-0fa106a3c9c6,0,apolitsch@es-il.org,2019-05-02 20:03:36,,YELLOW,42.1413138963111,-89.2777432882333,apolitsch@es-il.org,2019-05-02 20:03:36,,"1268 Glacier Dr, Byron, IL 61010, USA"
